,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
7QT0:H,0,mouse,H,7.3e-59,188.5,0,119,,,0.0,,0.0,217,2.07,X-RAY DIFFRACTION,0.242,2023-05-24,2023,test_new_234
7QT2:H,0,mouse,H,3.9999999999999997e-56,179.6,0,115,,,0.0,,0.0,214,1.92,X-RAY DIFFRACTION,0.195,2023-05-24,2023,test_new_234
7QT3:H,0,mouse,H,1.3e-58,187.6,0,119,,,0.0,,0.0,216,1.7,X-RAY DIFFRACTION,0.201,2023-05-24,2023,test_new_234
7QT4:H,0,mouse,H,1.5e-54,174.6,0,116,,,0.0,,0.0,204,2.32,X-RAY DIFFRACTION,0.209,2023-05-24,2023,test_new_234
7QTI:H,0,human,H,4.399999999999999e-53,170.0,0,122,,,0.0,,0.0,221,0.0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTJ:H,0,alpaca,H,7.299999999999999e-55,175.9,0,124,,,0.0,,0.0,228,0.0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTK:H,0,alpaca,H,7.299999999999999e-55,175.9,0,124,,,0.0,,0.0,228,0.0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QU1:H,0,mouse,H,1.8e-59,190.5,0,119,,,0.0,,0.0,221,1.91,X-RAY DIFFRACTION,0.194,2022-01-17,2022,test_new_234
7QU2:H,0,mouse,H,1.5e-51,164.8,0,124,,,0.0,,0.0,227,2.5,X-RAY DIFFRACTION,0.223,2022-01-17,2022,test_new_234
7QUH:H,0,alpaca,H,2.6e-58,187.0,0,119,,,0.0,,0.0,216,2.867,X-RAY DIFFRACTION,0.225,2023-05-31,2023,test_new_234
7R40:H,0,alpaca,H,4.900000000000001e-65,208.7,0,119,,,0.0,,0.0,120,2.9,ELECTRON MICROSCOPY,,2022-02-08,2022,test_new_234
7R58:H,0,human,H,1.4000000000000001e-59,191.0,0,119,,,0.0,,0.0,216,1.902,X-RAY DIFFRACTION,0.186,2022-11-16,2022,test_new_234
7RA7:H,0,rabbit,H,1.6999999999999998e-53,171.3,0,118,,,0.0,,0.0,217,2.2,X-RAY DIFFRACTION,0.215,2022-07-06,2022,test_new_234
7RE7:H,0,human,H,2.2e-52,167.7,0,116,,,0.0,,0.0,218,2.547,X-RAY DIFFRACTION,0.18,2022-07-27,2022,test_new_234
7RE9:H,0,human,H,8.1e-52,165.9,0,115,,,0.0,,0.0,210,2.77,X-RAY DIFFRACTION,0.223,2022-07-27,2022,test_new_234
7RPT:H,0,alpaca,H,9.9e-58,185.1,0,114,,,0.0,,0.0,212,2.5,X-RAY DIFFRACTION,0.198,2022-07-13,2022,test_new_234
7RPU:H,0,alpaca,H,9.7e-58,185.2,0,114,,,0.0,,0.0,210,1.27,X-RAY DIFFRACTION,0.141,2022-07-13,2022,test_new_234
7RU3:H,0,human,H,4.1e-52,166.8,0,115,,,0.0,,0.0,116,0.0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU4:H,0,human,H,1.6999999999999998e-53,171.3,0,117,,,0.0,,0.0,118,0.0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU5:H,0,human,H,1.7e-54,174.5,0,123,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU8:H,0,human,H,1.7e-54,174.5,0,123,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7S08:H,0,human,H,2.3e-51,164.4,0,124,,,0.0,,0.0,226,2.42,X-RAY DIFFRACTION,0.212,2022-11-09,2022,test_new_234
7S0J:H,0,human,H,3.7e-50,160.5,0,128,,,0.0,,0.0,230,2.15,X-RAY DIFFRACTION,0.235,2022-11-09,2022,test_new_234
7S5P:H,0,alpaca,H,1.1e-63,204.4,0,117,,,0.0,,0.0,212,2.86,X-RAY DIFFRACTION,0.208,2022-03-09,2022,test_new_234
7S5Q:H,0,human,H,4.8e-57,182.8,0,128,,,0.0,,0.0,225,2.88,X-RAY DIFFRACTION,0.216,2022-03-09,2022,test_new_234
7S5R:H,0,human,H,4.8e-57,182.8,0,128,,,0.0,,0.0,225,2.45,X-RAY DIFFRACTION,0.207,2022-03-09,2022,test_new_234
7S7I:H,0,alpaca,H,7.899999999999999e-63,201.6,0,118,,,0.0,,0.0,214,2.4,X-RAY DIFFRACTION,0.22,2022-10-05,2022,test_new_234
7SA6:H,0,mouse,H,1.4e-57,184.3,0,121,,,0.0,,0.0,205,2.9,X-RAY DIFFRACTION,0.249,2022-10-05,2022,test_new_234
7SBZ:H,0,mouse,H,1.7e-57,184.1,0,121,,,0.0,,0.0,221,2.9,X-RAY DIFFRACTION,0.248,2022-10-05,2022,test_new_234
7SIX:H,0,human,H,3.8e-51,163.7,0,127,,,0.0,,0.0,128,0.0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
7SJ0:H,0,human,H,4e-55,176.6,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
7SJM:H,0,human,H,2.0999999999999998e-55,177.5,0,118,,,0.0,,0.0,221,1.8,X-RAY DIFFRACTION,0.171,2022-09-07,2022,test_new_234
7SJN:H,0,human,H,9.999999999999999e-55,175.3,0,116,,,0.0,,0.0,117,0.0,ELECTRON MICROSCOPY,,2022-09-07,2022,test_new_234
7SJO:H,0,human,H,2.0999999999999998e-55,177.5,0,118,,,0.0,,0.0,221,0.0,ELECTRON MICROSCOPY,,2022-09-07,2022,test_new_234
7SJP:H,0,human,H,2.0999999999999998e-55,177.5,0,118,,,0.0,,0.0,221,2.1,X-RAY DIFFRACTION,0.168,2022-09-07,2022,test_new_234
7SK3:H,0,pig,H,1.3e-56,181.5,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK4:H,0,pig,H,1.3e-56,181.5,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK5:H,0,pig,H,7.8e-57,182.2,0,126,,,0.0,,0.0,220,0.0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK7:H,0,pig,H,3.9e-58,186.4,0,124,,,0.0,,0.0,211,0.0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK8:H,0,pig,H,1.3e-56,181.5,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK9:H,0,pig,H,2.9e-56,180.4,0,125,,,0.0,,0.0,222,0.0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SKZ:H,0,alpaca,H,5.400000000000002e-59,189.2,0,122,,,0.0,,0.0,226,1.86,X-RAY DIFFRACTION,0.199,2022-07-20,2022,test_new_234
7SL5:H,0,human,H,5.3e-52,166.4,0,131,,,0.0,,0.0,229,2.5,X-RAY DIFFRACTION,0.195,2022-07-20,2022,test_new_234
7SSC:H,0,alpaca,H,2.2e-63,203.4,0,122,,,0.0,,0.0,219,1.8,X-RAY DIFFRACTION,0.15,2022-10-19,2022,test_new_234
7ST5:H,0,human,H,2.2e-56,180.6,0,118,,,0.0,,0.0,206,2.2,X-RAY DIFFRACTION,0.245,2023-05-17,2023,test_new_234
7STR:H,0,human,H,3.5000000000000005e-57,183.2,0,121,,,0.0,,0.0,222,1.5,X-RAY DIFFRACTION,0.161,2022-08-10,2022,test_new_234
7STS:H,0,human,H,2.7e-57,183.6,0,116,,,0.0,,0.0,210,2.16,X-RAY DIFFRACTION,0.19,2022-08-10,2022,test_new_234
7SUE:H,0,human,H,8.7e-52,165.8,0,128,,,0.0,,0.0,227,2.9,X-RAY DIFFRACTION,0.262,2022-08-10,2022,test_new_234
7SWW:H,0,mouse,H,5.6e-54,172.7,0,116,,,0.0,,0.0,117,0.0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7SWX:H,0,mouse,H,5.6e-54,172.7,0,116,,,0.0,,0.0,117,0.0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7SX7:H,0,human,H,1.3e-40,129.6,0,126,,,0.0,,0.0,223,2.15,X-RAY DIFFRACTION,0.209,2022-11-30,2022,test_new_234
7SZU:H,0,alpaca,H,1.1000000000000001e-60,194.6,0,121,,,0.0,,0.0,224,2.24,X-RAY DIFFRACTION,0.219,2022-07-06,2022,test_new_234
7T0F:H,0,human,H,1.3e-56,181.3,0,121,,,0.0,,0.0,214,2.0,X-RAY DIFFRACTION,0.214,2022-04-20,2022,test_new_234
7T0L:H,0,mouse,H,2.8e-53,170.4,0,118,,,0.0,,0.0,218,3.0,X-RAY DIFFRACTION,0.198,2022-12-07,2022,test_new_234
7T17:H,0,human,H,5.1e-57,182.7,0,122,,,0.0,,0.0,123,0.0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7T25:H,0,human,H,4.4e-54,173.2,0,114,,,0.0,,0.0,208,2.25,X-RAY DIFFRACTION,0.191,2022-12-14,2022,test_new_234
7T3M:H,0,human,H,3.1e-52,167.2,0,121,,,0.0,,0.0,122,0.0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7T5O:H,0,human,H,1.8e-56,180.9,0,119,,,0.0,,0.0,220,0.0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
7T7B:H,0,human,H,1.1e-52,168.6,0,128,,,0.0,,0.0,224,2.59,X-RAY DIFFRACTION,0.221,2022-08-03,2022,test_new_234
7T86:H,0,alpaca,H,1.1e-54,175.2,0,119,,,0.0,,0.0,215,1.9,X-RAY DIFFRACTION,0.196,2023-01-11,2023,test_new_234
7T87:H,0,mouse,H,2.4e-57,183.6,0,123,,,0.0,,0.0,220,3.0,X-RAY DIFFRACTION,0.196,2023-01-11,2023,test_new_234
7T97:H,0,human,H,2e-59,190.5,0,119,,,0.0,,0.0,221,2.144,X-RAY DIFFRACTION,0.194,2022-10-12,2022,test_new_234
7T98:H,0,human,H,2e-59,190.5,0,119,,,0.0,,0.0,221,2.97,X-RAY DIFFRACTION,0.192,2022-10-12,2022,test_new_234
7T99:H,0,human,H,6.8e-59,188.7,0,118,,,0.0,,0.0,220,2.65,X-RAY DIFFRACTION,0.184,2022-10-12,2022,test_new_234
7T9N:H,0,human,H,1.5e-51,165.0,0,120,,,0.0,,0.0,215,0.0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7TCQ:H,0,mouse,H,1e-51,165.4,0,115,,,0.0,,0.0,216,2.02,X-RAY DIFFRACTION,0.172,2022-08-03,2022,test_new_234
7TCT:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.501,X-RAY DIFFRACTION,0.195,2022-08-17,2022,test_new_234
7TD8:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.6,X-RAY DIFFRACTION,0.182,2022-08-17,2022,test_new_234
7TE4:H,0,alpaca,H,1.5e-51,165.2,0,115,,,0.0,,0.0,210,2.456,X-RAY DIFFRACTION,0.261,2022-01-04,2022,test_new_234
7THO:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.75,X-RAY DIFFRACTION,0.189,2022-08-17,2022,test_new_234
7TI6:H,0,alpaca,H,5.7e-58,185.9,0,130,,,0.0,,0.0,231,2.64,X-RAY DIFFRACTION,0.229,2022-10-05,2022,test_new_234
7TJQ:H,0,alpaca,H,2.3000000000000002e-58,187.2,0,123,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7TL0:H,0,human,H,8e-57,182.0,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7TLY:H,0,human,H,1.0999999999999999e-53,171.9,0,125,,,0.0,,0.0,126,3.0,ELECTRON MICROSCOPY,,2022-01-19,2022,test_new_234
7TMZ:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.20002,X-RAY DIFFRACTION,0.214,2022-08-17,2022,test_new_234
7TN0:H,0,human,H,1.4e-53,171.6,0,126,,,0.0,,0.0,224,2.85,X-RAY DIFFRACTION,0.23,2022-01-20,2022,test_new_234
7TN9:H,0,alpaca,H,3.5000000000000003e-60,193.0,0,115,,,0.0,,0.0,116,0.0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
7TOW:H,0,alpaca,H,3.1e-52,167.4,0,131,,,0.0,,0.0,236,2.15,X-RAY DIFFRACTION,0.167,2022-01-24,2022,test_new_234
7TP3:H,0,alpaca,H,1e-57,185.0,0,127,,,0.0,,0.0,231,2.33,X-RAY DIFFRACTION,0.185,2022-01-24,2022,test_new_234
7TP4:H,0,alpaca,H,9.3e-60,191.7,0,123,,,0.0,,0.0,219,1.95,X-RAY DIFFRACTION,0.205,2022-01-24,2022,test_new_234
7TPD:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.6,X-RAY DIFFRACTION,0.165,2022-08-17,2022,test_new_234
7TQA:H,0,mouse,H,5.3e-59,188.9,0,118,,,0.0,,0.0,216,2.328,X-RAY DIFFRACTION,0.179,2022-01-26,2022,test_new_234
7TQG:H,0,human,H,1.5999999999999999e-55,177.8,0,125,,,0.0,,0.0,226,2.07,X-RAY DIFFRACTION,0.224,2023-03-01,2023,test_new_234
7TR4:H,0,alpaca,H,4.2e-64,205.7,0,118,,,0.0,,0.0,214,2.3,X-RAY DIFFRACTION,0.223,2022-11-23,2022,test_new_234
7TRH:H,0,alpaca,H,3.2e-58,186.7,0,124,,,0.0,,0.0,222,3.0,X-RAY DIFFRACTION,0.202,2023-08-02,2023,test_new_234
7TTM:H,0,human,H,4.5e-52,166.7,0,129,,,0.0,,0.0,228,2.24,X-RAY DIFFRACTION,0.201,2022-02-01,2022,test_new_234
7TTX:H,0,human,H,4.5e-52,166.7,0,129,,,0.0,,0.0,227,2.8,X-RAY DIFFRACTION,0.222,2022-02-02,2022,test_new_234
7TUF:H,0,mouse,H,3.3999999999999995e-53,170.1,0,119,,,0.0,,0.0,221,2.8,X-RAY DIFFRACTION,0.231,2022-09-07,2022,test_new_234
7TUH:H,0,mouse,H,5.7e-56,179.1,0,116,,,0.0,,0.0,216,2.3,X-RAY DIFFRACTION,0.218,2022-09-07,2022,test_new_234
7TUS:H,0,alpaca,H,5.7e-59,189.1,0,117,,,0.0,,0.0,215,2.4,X-RAY DIFFRACTION,0.218,2022-02-03,2022,test_new_234
7TUY:H,0,alpaca,H,3.1e-59,190.0,0,123,,,0.0,,0.0,225,2.98,ELECTRON MICROSCOPY,,2022-02-03,2022,test_new_234
7TXT:H,0,mouse,H,7.7e-57,181.9,0,119,,,0.0,,0.0,120,3.0,ELECTRON MICROSCOPY,,2023-03-15,2023,test_new_234
7TXW:H,0,mouse,H,7e-54,172.4,0,115,,,0.0,,0.0,217,2.17,X-RAY DIFFRACTION,0.177,2023-04-12,2023,test_new_234
7TYV:H,0,alpaca,H,1.3e-56,181.5,0,118,,,0.0,,0.0,207,2.8,ELECTRON MICROSCOPY,,2022-02-14,2022,test_new_234
7U04:H,0,human,H,2.3e-49,157.9,0,124,,,0.0,,0.0,227,2.31,X-RAY DIFFRACTION,0.217,2022-08-24,2022,test_new_234
7U09:H,0,human,H,7.3e-54,172.5,0,125,,,0.0,,0.0,227,2.1,X-RAY DIFFRACTION,0.19,2022-08-03,2022,test_new_234
7U0A:H,0,alpaca,H,1.9000000000000002e-57,184.2,0,121,,,0.0,,0.0,225,1.7,X-RAY DIFFRACTION,0.154,2022-08-03,2022,test_new_234
7U0B:H,0,human,H,5e-52,166.5,0,124,,,0.0,,0.0,221,2.79,X-RAY DIFFRACTION,0.212,2022-02-17,2022,test_new_234
7U0E:H,0,human,H,5.2e-50,160.0,0,125,,,0.0,,0.0,224,2.1,X-RAY DIFFRACTION,0.179,2022-08-03,2022,test_new_234
7U0K:H,0,human,H,8.4e-51,162.6,0,122,,,0.0,,0.0,225,1.73,X-RAY DIFFRACTION,0.186,2022-08-24,2022,test_new_234
7U0X:H,0,alpaca,H,1.0000000000000001e-60,194.8,0,128,,,0.0,,0.0,234,0.0,ELECTRON MICROSCOPY,,2023-03-01,2023,test_new_234
7U0Y:H,0,alpaca,H,1.1000000000000001e-60,194.7,0,121,,,0.0,,0.0,223,2.66,X-RAY DIFFRACTION,0.219,2022-08-31,2022,test_new_234
7U2D:H,0,alpaca,H,9.9e-63,201.3,0,123,,,0.0,,0.0,219,2.76,X-RAY DIFFRACTION,0.22,2022-02-23,2022,test_new_234
7U2E:H,0,alpaca,H,3.6e-62,199.5,0,123,,,0.0,,0.0,219,2.85,X-RAY DIFFRACTION,0.254,2022-02-23,2022,test_new_234
7U5B:H,0,alpaca,H,1.4e-55,178.2,0,119,,,0.0,,0.0,218,2.371,X-RAY DIFFRACTION,0.222,2022-12-14,2022,test_new_234
7U5G:H,0,human,H,4e-53,170.1,0,123,,,0.0,,0.0,227,1.84,X-RAY DIFFRACTION,0.222,2022-11-02,2022,test_new_234
7U60:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.55,X-RAY DIFFRACTION,0.188,2022-08-17,2022,test_new_234
7U61:H,0,mouse,H,1.4e-54,174.7,0,121,,,0.0,,0.0,215,2.1,X-RAY DIFFRACTION,0.23,2023-01-11,2023,test_new_234
7U62:H,0,alpaca,H,1.5999999999999996e-53,171.5,0,122,,,0.0,,0.0,221,1.82,X-RAY DIFFRACTION,0.17,2023-01-11,2023,test_new_234
7U63:H,0,mouse,H,1.1999999999999999e-54,174.8,0,122,,,0.0,,0.0,215,2.3,X-RAY DIFFRACTION,0.226,2023-01-11,2023,test_new_234
7U64:H,0,cow,H,1e-48,155.6,0,119,,,0.0,,0.0,222,1.75,X-RAY DIFFRACTION,0.197,2023-01-11,2023,test_new_234
7U8C:H,0,mouse,H,6.899999999999999e-53,169.2,0,113,,,0.0,,0.0,214,1.74,X-RAY DIFFRACTION,0.204,2022-03-08,2022,test_new_234
7U8E:H,0,human,H,3.2e-52,167.2,0,126,,,0.0,,0.0,222,2.29,X-RAY DIFFRACTION,0.204,2023-03-15,2023,test_new_234
7U8G:H,0,rabbit,H,7.2e-56,178.9,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2022-10-26,2022,test_new_234
7U9F:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.70001,X-RAY DIFFRACTION,0.217,2022-08-17,2022,test_new_234
7U9O:H,0,human,H,4.1999999999999996e-47,150.6,1,117,,,0.0,,0.0,199,0.0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7U9P:H,0,alpaca,H,1.7e-57,184.3,1,121,,,0.0,,0.0,168,0.0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7U9V:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.25492,X-RAY DIFFRACTION,0.203,2022-08-17,2022,test_new_234
7UAP:H,0,alpaca,H,7.6000000000000005e-59,188.7,0,125,,,0.0,,0.0,126,2.8,ELECTRON MICROSCOPY,,2022-03-13,2022,test_new_234
7UBR:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.04993,X-RAY DIFFRACTION,0.209,2022-08-17,2022,test_new_234
7UCE:H,0,human,H,4.6999999999999995e-49,156.9,0,122,,,0.0,,0.0,225,2.25,X-RAY DIFFRACTION,0.204,2022-08-17,2022,test_new_234
7UCX:H,0,alpaca,H,2e-58,187.4,0,116,,,0.0,,0.0,206,1.72,X-RAY DIFFRACTION,0.205,2023-01-18,2023,test_new_234
7UCY:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.34996,X-RAY DIFFRACTION,0.221,2022-08-17,2022,test_new_234
7UDG:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.80007,X-RAY DIFFRACTION,0.213,2022-08-17,2022,test_new_234
7UDH:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,1.99999,X-RAY DIFFRACTION,0.185,2022-08-17,2022,test_new_234
7UE0:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.74196,X-RAY DIFFRACTION,0.225,2022-08-17,2022,test_new_234
7UE9:H,0,human,H,1.3e-51,165.1,0,109,,,0.0,,0.0,213,1.75,X-RAY DIFFRACTION,0.171,2022-03-21,2022,test_new_234
7UED:H,0,mouse,H,3.3e-54,173.4,0,117,,,0.0,,0.0,219,3.0,X-RAY DIFFRACTION,0.201,2023-02-01,2023,test_new_234
7UEL:H,0,alpaca,H,1.4999999999999999e-61,197.5,0,117,,,0.0,,0.0,221,1.9,X-RAY DIFFRACTION,0.169,2022-03-22,2022,test_new_234
7UEM:H,0,alpaca,H,5.4e-60,192.4,0,117,,,0.0,,0.0,218,2.314,X-RAY DIFFRACTION,0.189,2022-03-22,2022,test_new_234
7UEN:H,0,mouse,H,8.6e-53,168.8,0,117,,,0.0,,0.0,205,1.55,X-RAY DIFFRACTION,0.128,2022-03-22,2022,test_new_234
7UFH:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.99768,X-RAY DIFFRACTION,0.225,2022-08-17,2022,test_new_234
7UFN:H,0,human,H,3.5000000000000005e-57,183.2,0,120,,,0.0,,0.0,221,2.2,X-RAY DIFFRACTION,0.164,2023-04-12,2023,test_new_234
7UFO:H,0,human,H,8.9e-56,178.7,0,119,,,0.0,,0.0,220,1.8,X-RAY DIFFRACTION,0.192,2023-04-12,2023,test_new_234
7UFQ:H,0,human,H,3.1e-56,180.1,0,120,,,0.0,,0.0,221,2.3,X-RAY DIFFRACTION,0.215,2023-04-12,2023,test_new_234
7UGM:H,0,human,H,1.3000000000000002e-57,184.6,0,122,,,0.0,,0.0,225,1.4,X-RAY DIFFRACTION,0.193,2022-11-09,2022,test_new_234
7UH8:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.75002,X-RAY DIFFRACTION,0.229,2022-08-17,2022,test_new_234
7UIJ:H,0,mouse,H,3.1e-45,144.4,0,115,,,0.0,,0.0,215,2.701,X-RAY DIFFRACTION,0.204,2023-04-05,2023,test_new_234
7UJA:H,0,human,H,6.3e-46,146.8,0,122,,,0.0,,0.0,124,0.0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
7UJE:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.49997,X-RAY DIFFRACTION,0.209,2022-08-17,2022,test_new_234
7UJK:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.43266,X-RAY DIFFRACTION,0.221,2022-08-17,2022,test_new_234
7UK9:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.60002,X-RAY DIFFRACTION,0.223,2022-08-17,2022,test_new_234
7UKO:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.604,X-RAY DIFFRACTION,0.214,2022-08-17,2022,test_new_234
7UKP:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.80113,X-RAY DIFFRACTION,0.219,2022-08-17,2022,test_new_234
7UKT:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.36994,X-RAY DIFFRACTION,0.194,2022-08-17,2022,test_new_234
7UL0:H,0,human,H,1.6e-58,187.6,0,118,,,0.0,,0.0,221,2.49,X-RAY DIFFRACTION,0.225,2023-03-08,2023,test_new_234
7UL1:H,0,alpaca,H,1.7e-63,203.8,0,117,,,0.0,,0.0,219,2.65,X-RAY DIFFRACTION,0.174,2023-03-08,2023,test_new_234
7UL3:H,0,pig,H,2.7e-48,154.6,0,117,,,0.0,,0.0,183,3.0,ELECTRON MICROSCOPY,,2022-04-03,2022,test_new_234
7UM3:H,0,human,H,2.1e-49,158.1,0,117,,,0.0,,0.0,215,2.3983,X-RAY DIFFRACTION,0.206,2022-09-07,2022,test_new_234
7UMM:H,0,human,H,1.5999999999999999e-55,177.8,0,120,,,0.0,,0.0,215,0.0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7UMN:H,0,mouse,H,4.1999999999999996e-55,176.3,0,118,,,0.0,,0.0,119,0.0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
7UNB:H,0,human,H,6.3e-53,169.4,0,126,,,0.0,,0.0,230,2.18,X-RAY DIFFRACTION,0.178,2022-08-10,2022,test_new_234
7UOP:H,0,mouse,H,1.3e-50,161.8,0,119,,,0.0,,0.0,120,2.8,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
7UOT:H,0,human,H,1.1e-49,159.0,1,116,,,0.0,,0.0,135,0.0,ELECTRON MICROSCOPY,,2022-11-02,2022,test_new_234
7UOV:H,0,human,H,7.1e-50,159.6,0,124,,,0.0,,0.0,125,0.0,ELECTRON MICROSCOPY,,2022-11-02,2022,test_new_234
7UOW:H,0,alpaca,H,3.4e-62,199.5,0,116,,,0.0,,0.0,222,0.0,ELECTRON MICROSCOPY,,2023-04-19,2023,test_new_234
7UP9:H,0,mouse,H,7.9999999999999985e-56,178.6,0,117,,,0.0,,0.0,118,2.9,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
7UPB:H,0,mouse,H,6.9e-57,182.1,0,119,,,0.0,,0.0,120,0.0,ELECTRON MICROSCOPY,,2023-03-29,2023,test_new_234
