,domain_no,hmm_species,chain_type,e-value,score,seqstart_index,seqend_index,identity_species,v_gene,v_identity,j_gene,j_identity,unaligned_len,resolution,method,r_factor,date,year,dataset
7FJC:L,0,rhesus,K,3.8e-60,192.7,0,107,,,0.0,,0.0,214,2.96,X-RAY DIFFRACTION,0.212,2022-08-10,2022,test_new_234
7MYT:H,0,human,H,1.9e-50,161.4,0,125,,,0.0,,0.0,228,2.1,X-RAY DIFFRACTION,0.173,2022-11-09,2022,test_new_234
7MYT:L,0,rhesus,L,2.1e-48,154.8,0,110,,,0.0,,0.0,214,2.1,X-RAY DIFFRACTION,0.173,2022-11-09,2022,test_new_234
7OX1:H,0,alpaca,H,2.2e-58,187.3,0,126,,,0.0,,0.0,225,2.49,X-RAY DIFFRACTION,0.209,2022-12-28,2022,test_new_234
7OX1:L,0,pig,L,2.4e-48,154.8,0,108,,,0.0,,0.0,211,2.49,X-RAY DIFFRACTION,0.209,2022-12-28,2022,test_new_234
7OX3:H,0,alpaca,H,1.1e-60,194.7,0,119,,,0.0,,0.0,215,1.7,X-RAY DIFFRACTION,0.176,2022-12-28,2022,test_new_234
7OX3:L,0,rhesus,L,8.2e-47,149.7,0,106,,,0.0,,0.0,209,1.7,X-RAY DIFFRACTION,0.176,2022-12-28,2022,test_new_234
7OX4:H,0,alpaca,H,4.9e-60,192.6,0,122,,,0.0,,0.0,224,1.8,X-RAY DIFFRACTION,0.183,2022-12-28,2022,test_new_234
7OX4:L,0,rhesus,L,4.8e-35,111.7,0,97,,,0.0,,0.0,200,1.8,X-RAY DIFFRACTION,0.183,2022-12-28,2022,test_new_234
7PHS:H,0,alpaca,H,1.1e-57,184.9,0,121,,,0.0,,0.0,223,2.77,X-RAY DIFFRACTION,0.273,2022-09-07,2022,test_new_234
7PHS:L,0,cow,L,2.6e-52,167.4,0,109,,,0.0,,0.0,211,2.77,X-RAY DIFFRACTION,0.273,2022-09-07,2022,test_new_234
7QT0:H,0,mouse,H,7.3e-59,188.5,0,119,,,0.0,,0.0,217,2.07,X-RAY DIFFRACTION,0.242,2023-05-24,2023,test_new_234
7QT0:L,0,mouse,K,1.6e-52,168.0,0,107,,,0.0,,0.0,211,2.07,X-RAY DIFFRACTION,0.242,2023-05-24,2023,test_new_234
7QT2:H,0,mouse,H,4e-56,179.6,0,115,,,0.0,,0.0,214,1.92,X-RAY DIFFRACTION,0.195,2023-05-24,2023,test_new_234
7QT2:L,0,mouse,K,5.3e-52,166.4,0,107,,,0.0,,0.0,214,1.92,X-RAY DIFFRACTION,0.195,2023-05-24,2023,test_new_234
7QT3:H,0,mouse,H,1.3e-58,187.6,0,119,,,0.0,,0.0,216,1.7,X-RAY DIFFRACTION,0.201,2023-05-24,2023,test_new_234
7QT3:L,0,mouse,K,1.9e-53,171.0,0,107,,,0.0,,0.0,212,1.7,X-RAY DIFFRACTION,0.201,2023-05-24,2023,test_new_234
7QT4:H,0,mouse,H,1.5e-54,174.6,0,116,,,0.0,,0.0,204,2.32,X-RAY DIFFRACTION,0.209,2023-05-24,2023,test_new_234
7QT4:L,0,mouse,K,3e-51,163.9,0,107,,,0.0,,0.0,211,2.32,X-RAY DIFFRACTION,0.209,2023-05-24,2023,test_new_234
7QTI:H,0,human,H,4.399999999999999e-53,170.0,0,122,,,0.0,,0.0,221,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTI:L,0,rhesus,K,2.4e-57,183.7,0,108,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTJ:H,0,alpaca,H,7.299999999999999e-55,175.9,0,124,,,0.0,,0.0,228,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTJ:L,0,human,K,1.3e-54,174.7,0,107,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTK:H,0,alpaca,H,7.299999999999999e-55,175.9,0,124,,,0.0,,0.0,228,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QTK:L,0,human,K,1.3e-54,174.7,0,107,,,0.0,,0.0,214,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7QU1:H,0,mouse,H,1.8e-59,190.5,0,119,,,0.0,,0.0,221,1.91,X-RAY DIFFRACTION,0.194,2022-01-17,2022,test_new_234
7QU1:L,0,mouse,K,5.2e-51,163.2,0,107,,,0.0,,0.0,213,1.91,X-RAY DIFFRACTION,0.194,2022-01-17,2022,test_new_234
7QU2:H,0,mouse,H,1.5e-51,164.8,0,124,,,0.0,,0.0,227,2.5,X-RAY DIFFRACTION,0.223,2022-01-17,2022,test_new_234
7QU2:L,0,mouse,K,1e-48,155.7,0,107,,,0.0,,0.0,213,2.5,X-RAY DIFFRACTION,0.223,2022-01-17,2022,test_new_234
7QUH:H,0,alpaca,H,2.6e-58,187.0,0,119,,,0.0,,0.0,216,2.867,X-RAY DIFFRACTION,0.225,2023-05-31,2023,test_new_234
7QUH:L,0,human,K,1.8e-52,167.7,0,106,,,0.0,,0.0,212,2.867,X-RAY DIFFRACTION,0.225,2023-05-31,2023,test_new_234
7R40:H,0,alpaca,H,4.900000000000001e-65,208.7,0,119,,,0.0,,0.0,120,2.9,ELECTRON MICROSCOPY,,2022-02-08,2022,test_new_234
7R40:L,0,human,K,7.6e-56,178.6,0,106,,,0.0,,0.0,107,2.9,ELECTRON MICROSCOPY,,2022-02-08,2022,test_new_234
7R58:H,0,human,H,1.4000000000000001e-59,191.0,0,119,,,0.0,,0.0,216,1.902,X-RAY DIFFRACTION,0.186,2022-11-16,2022,test_new_234
7R58:L,0,rhesus,K,1.3e-61,197.4,0,112,,,0.0,,0.0,218,1.902,X-RAY DIFFRACTION,0.186,2022-11-16,2022,test_new_234
7RA7:H,0,rabbit,H,1.6999999999999998e-53,171.3,0,118,,,0.0,,0.0,217,2.2,X-RAY DIFFRACTION,0.215,2022-07-06,2022,test_new_234
7RA7:L,0,rabbit,K,1.9e-51,164.4,0,113,,,0.0,,0.0,217,2.2,X-RAY DIFFRACTION,0.215,2022-07-06,2022,test_new_234
7RE7:H,0,human,H,2.2e-52,167.7,0,116,,,0.0,,0.0,218,2.547,X-RAY DIFFRACTION,0.180,2022-07-27,2022,test_new_234
7RE7:L,0,human,L,1.9e-52,167.9,0,109,,,0.0,,0.0,211,2.547,X-RAY DIFFRACTION,0.180,2022-07-27,2022,test_new_234
7RE9:H,0,human,H,8.1e-52,165.9,0,115,,,0.0,,0.0,210,2.77,X-RAY DIFFRACTION,0.223,2022-07-27,2022,test_new_234
7RE9:L,0,human,L,3.1e-52,167.2,0,108,,,0.0,,0.0,211,2.77,X-RAY DIFFRACTION,0.223,2022-07-27,2022,test_new_234
7RPT:H,0,alpaca,H,9.9e-58,185.1,0,114,,,0.0,,0.0,212,2.5,X-RAY DIFFRACTION,0.198,2022-07-13,2022,test_new_234
7RPT:L,0,human,K,2.7e-53,170.4,0,112,,,0.0,,0.0,218,2.5,X-RAY DIFFRACTION,0.198,2022-07-13,2022,test_new_234
7RPU:H,0,alpaca,H,9.7e-58,185.2,0,114,,,0.0,,0.0,210,1.27,X-RAY DIFFRACTION,0.141,2022-07-13,2022,test_new_234
7RPU:L,0,human,K,2.7e-53,170.4,0,112,,,0.0,,0.0,218,1.27,X-RAY DIFFRACTION,0.141,2022-07-13,2022,test_new_234
7RU3:H,0,human,H,4.1e-52,166.8,0,115,,,0.0,,0.0,116,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU3:L,0,rhesus,K,3.2e-57,183.3,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU4:H,0,human,H,1.6999999999999998e-53,171.3,0,117,,,0.0,,0.0,118,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU4:L,0,rhesus,K,2.8e-58,186.7,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU5:H,0,human,H,1.7e-54,174.5,0,123,,,0.0,,0.0,124,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU5:L,0,human,K,3.6e-58,186.2,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU8:H,0,human,H,1.7e-54,174.5,0,123,,,0.0,,0.0,124,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7RU8:L,0,human,K,3.6e-58,186.2,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7S08:H,0,human,H,2.3e-51,164.4,0,124,,,0.0,,0.0,226,2.42,X-RAY DIFFRACTION,0.212,2022-11-09,2022,test_new_234
7S08:L,0,human,K,1e-53,171.8,0,108,,,0.0,,0.0,214,2.42,X-RAY DIFFRACTION,0.212,2022-11-09,2022,test_new_234
7S0J:H,0,human,H,3.7e-50,160.5,0,128,,,0.0,,0.0,230,2.15,X-RAY DIFFRACTION,0.235,2022-11-09,2022,test_new_234
7S0J:L,0,human,K,8e-55,175.3,0,107,,,0.0,,0.0,213,2.15,X-RAY DIFFRACTION,0.235,2022-11-09,2022,test_new_234
7S5P:H,0,alpaca,H,1.1e-63,204.4,0,117,,,0.0,,0.0,212,2.86,X-RAY DIFFRACTION,0.208,2022-03-09,2022,test_new_234
7S5P:L,0,human,L,1e-50,162.3,0,107,,,0.0,,0.0,210,2.86,X-RAY DIFFRACTION,0.208,2022-03-09,2022,test_new_234
7S5Q:H,0,human,H,4.8e-57,182.8,0,128,,,0.0,,0.0,225,2.88,X-RAY DIFFRACTION,0.216,2022-03-09,2022,test_new_234
7S5Q:L,0,human,K,1.4e-57,184.2,0,107,,,0.0,,0.0,212,2.88,X-RAY DIFFRACTION,0.216,2022-03-09,2022,test_new_234
7S5R:H,0,human,H,4.8e-57,182.8,0,128,,,0.0,,0.0,225,2.45,X-RAY DIFFRACTION,0.207,2022-03-09,2022,test_new_234
7S5R:L,0,human,K,1.4e-57,184.2,0,107,,,0.0,,0.0,212,2.45,X-RAY DIFFRACTION,0.207,2022-03-09,2022,test_new_234
7S7I:H,0,alpaca,H,7.899999999999999e-63,201.6,0,118,,,0.0,,0.0,214,2.4,X-RAY DIFFRACTION,0.220,2022-10-05,2022,test_new_234
7S7I:L,0,human,K,9e-57,181.6,0,107,,,0.0,,0.0,213,2.4,X-RAY DIFFRACTION,0.220,2022-10-05,2022,test_new_234
7SA6:H,0,mouse,H,1.4e-57,184.3,0,121,,,0.0,,0.0,205,2.9,X-RAY DIFFRACTION,0.249,2022-10-05,2022,test_new_234
7SA6:L,0,rhesus,K,2.5e-52,167.5,0,112,,,0.0,,0.0,216,2.9,X-RAY DIFFRACTION,0.249,2022-10-05,2022,test_new_234
7SBZ:H,0,mouse,H,1.7e-57,184.1,0,121,,,0.0,,0.0,221,2.9,X-RAY DIFFRACTION,0.248,2022-10-05,2022,test_new_234
7SBZ:L,0,rhesus,K,2.3e-52,167.6,0,112,,,0.0,,0.0,209,2.9,X-RAY DIFFRACTION,0.248,2022-10-05,2022,test_new_234
7SIX:H,0,human,H,3.8e-51,163.7,0,127,,,0.0,,0.0,128,0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
7SIX:L,0,rhesus,K,7.499999999999999e-61,195.0,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
7SJ0:H,0,human,H,4e-55,176.6,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
7SJ0:L,0,rhesus,L,2.7e-53,170.7,0,107,,,0.0,,0.0,108,0,ELECTRON MICROSCOPY,,2022-11-16,2022,test_new_234
7SJM:H,0,human,H,2.0999999999999998e-55,177.5,0,118,,,0.0,,0.0,221,1.8,X-RAY DIFFRACTION,0.171,2022-09-07,2022,test_new_234
7SJM:L,0,rhesus,K,6.7e-56,179.0,0,106,,,0.0,,0.0,212,1.8,X-RAY DIFFRACTION,0.171,2022-09-07,2022,test_new_234
7SJN:H,0,human,H,9.999999999999999e-55,175.3,0,116,,,0.0,,0.0,117,0,ELECTRON MICROSCOPY,,2022-09-07,2022,test_new_234
7SJN:L,0,rhesus,K,1.1e-56,181.5,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-09-07,2022,test_new_234
7SJO:H,0,human,H,2.0999999999999998e-55,177.5,0,118,,,0.0,,0.0,221,0,ELECTRON MICROSCOPY,,2022-09-07,2022,test_new_234
7SJO:L,0,rhesus,K,6.7e-56,179.0,0,106,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-09-07,2022,test_new_234
7SJP:H,0,human,H,2.0999999999999998e-55,177.5,0,118,,,0.0,,0.0,221,2.1,X-RAY DIFFRACTION,0.168,2022-09-07,2022,test_new_234
7SJP:L,0,rhesus,K,6.7e-56,179.0,0,106,,,0.0,,0.0,212,2.1,X-RAY DIFFRACTION,0.168,2022-09-07,2022,test_new_234
7SK3:H,0,pig,H,1.3e-56,181.5,0,124,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK3:L,0,human,K,9.2e-57,181.6,0,105,,,0.0,,0.0,106,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK4:H,0,pig,H,1.3e-56,181.5,0,124,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK4:L,0,human,K,2.4e-50,160.9,0,100,,,0.0,,0.0,101,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK5:H,0,pig,H,7.8e-57,182.2,0,126,,,0.0,,0.0,220,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK5:L,0,rhesus,K,9.800000000000001e-57,181.7,0,107,,,0.0,,0.0,211,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK7:H,0,pig,H,3.9e-58,186.4,0,124,,,0.0,,0.0,211,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK7:L,0,rhesus,K,1.5e-56,181.1,0,106,,,0.0,,0.0,211,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK8:H,0,pig,H,1.3e-56,181.5,0,124,,,0.0,,0.0,125,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK8:L,0,rhesus,K,1.8e-57,184.1,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK9:H,0,pig,H,2.9e-56,180.4,0,125,,,0.0,,0.0,222,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SK9:L,0,rhesus,K,9.900000000000001e-57,181.7,0,107,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-07-27,2022,test_new_234
7SKZ:H,0,alpaca,H,5.400000000000002e-59,189.2,0,122,,,0.0,,0.0,226,1.86,X-RAY DIFFRACTION,0.199,2022-07-20,2022,test_new_234
7SKZ:L,0,human,K,4.1e-57,182.7,0,108,,,0.0,,0.0,215,1.86,X-RAY DIFFRACTION,0.199,2022-07-20,2022,test_new_234
7SL5:H,0,human,H,5.3e-52,166.4,0,131,,,0.0,,0.0,229,2.5,X-RAY DIFFRACTION,0.195,2022-07-20,2022,test_new_234
7SL5:L,0,human,K,3.800000000000001e-58,186.1,0,108,,,0.0,,0.0,215,2.5,X-RAY DIFFRACTION,0.195,2022-07-20,2022,test_new_234
7SSC:H,0,alpaca,H,2.2e-63,203.4,0,122,,,0.0,,0.0,219,1.8,X-RAY DIFFRACTION,0.150,2022-10-19,2022,test_new_234
7SSC:L,0,human,K,1.4e-56,181.0,0,108,,,0.0,,0.0,214,1.8,X-RAY DIFFRACTION,0.150,2022-10-19,2022,test_new_234
7ST5:H,0,human,H,2.2e-56,180.6,0,118,,,0.0,,0.0,206,2.2,X-RAY DIFFRACTION,0.245,2023-05-17,2023,test_new_234
7ST5:L,0,human,K,1.4e-58,187.5,0,107,,,0.0,,0.0,211,2.2,X-RAY DIFFRACTION,0.245,2023-05-17,2023,test_new_234
7STR:H,0,human,H,3.5000000000000005e-57,183.2,0,121,,,0.0,,0.0,222,1.5,X-RAY DIFFRACTION,0.161,2022-08-10,2022,test_new_234
7STR:L,0,rhesus,K,6.6e-58,185.5,0,108,,,0.0,,0.0,214,1.5,X-RAY DIFFRACTION,0.161,2022-08-10,2022,test_new_234
7STS:H,0,human,H,2.7e-57,183.6,0,116,,,0.0,,0.0,210,2.16,X-RAY DIFFRACTION,0.190,2022-08-10,2022,test_new_234
7STS:L,0,human,L,7.999999999999998e-54,172.3,0,110,,,0.0,,0.0,212,2.16,X-RAY DIFFRACTION,0.190,2022-08-10,2022,test_new_234
7SUE:H,0,human,H,8.7e-52,165.8,0,128,,,0.0,,0.0,227,2.9,X-RAY DIFFRACTION,0.262,2022-08-10,2022,test_new_234
7SUE:L,0,human,L,2.2e-51,164.4,0,109,,,0.0,,0.0,212,2.9,X-RAY DIFFRACTION,0.262,2022-08-10,2022,test_new_234
7SWW:H,0,mouse,H,5.6e-54,172.7,0,116,,,0.0,,0.0,117,0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7SWW:L,0,mouse,K,3.5000000000000005e-57,183.1,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7SWX:H,0,mouse,H,5.6e-54,172.7,0,116,,,0.0,,0.0,117,0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7SWX:L,0,mouse,K,3.5000000000000005e-57,183.1,0,111,,,0.0,,0.0,112,0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7SX7:H,0,human,H,1.3e-40,129.6,0,126,,,0.0,,0.0,223,2.15,X-RAY DIFFRACTION,0.209,2022-11-30,2022,test_new_234
7SX7:L,0,rhesus,L,3e-38,122.0,0,97,,,0.0,,0.0,202,2.15,X-RAY DIFFRACTION,0.209,2022-11-30,2022,test_new_234
7SZU:H,0,alpaca,H,1.1e-60,194.6,0,121,,,0.0,,0.0,224,2.24,X-RAY DIFFRACTION,0.219,2022-07-06,2022,test_new_234
7SZU:L,0,rhesus,K,2.2e-56,180.6,0,107,,,0.0,,0.0,213,2.24,X-RAY DIFFRACTION,0.219,2022-07-06,2022,test_new_234
7T0F:H,0,human,H,1.3e-56,181.3,0,121,,,0.0,,0.0,214,2,X-RAY DIFFRACTION,0.214,2022-04-20,2022,test_new_234
7T0F:L,0,mouse,K,1.8e-56,180.8,0,111,,,0.0,,0.0,218,2,X-RAY DIFFRACTION,0.214,2022-04-20,2022,test_new_234
7T0L:H,0,mouse,H,2.8e-53,170.4,0,118,,,0.0,,0.0,218,3,X-RAY DIFFRACTION,0.198,2022-12-07,2022,test_new_234
7T0L:L,0,mouse,K,2.9e-53,170.4,0,108,,,0.0,,0.0,211,3,X-RAY DIFFRACTION,0.198,2022-12-07,2022,test_new_234
7T17:H,0,human,H,5.1e-57,182.7,0,122,,,0.0,,0.0,123,0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7T17:L,0,rhesus,L,5.7e-51,163.2,0,109,,,0.0,,0.0,110,0,ELECTRON MICROSCOPY,,2022-11-23,2022,test_new_234
7T25:H,0,human,H,4.4e-54,173.2,0,114,,,0.0,,0.0,208,2.25,X-RAY DIFFRACTION,0.191,2022-12-14,2022,test_new_234
7T25:L,0,human,K,8.6e-57,181.7,0,108,,,0.0,,0.0,213,2.25,X-RAY DIFFRACTION,0.191,2022-12-14,2022,test_new_234
7T3M:H,0,human,H,3.1e-52,167.2,0,121,,,0.0,,0.0,122,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7T3M:L,0,rhesus,L,2.3e-54,174.1,0,109,,,0.0,,0.0,110,0,ELECTRON MICROSCOPY,,2022-08-24,2022,test_new_234
7T5O:H,0,human,H,1.8e-56,180.9,0,119,,,0.0,,0.0,220,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
7T5O:L,0,human,L,4.2999999999999994e-49,157.0,0,110,,,0.0,,0.0,213,0,ELECTRON MICROSCOPY,,2023-01-25,2023,test_new_234
7T7B:H,0,human,H,1.1e-52,168.6,0,128,,,0.0,,0.0,224,2.59,X-RAY DIFFRACTION,0.221,2022-08-03,2022,test_new_234
7T7B:L,0,human,K,2.699999999999999e-55,176.9,0,106,,,0.0,,0.0,210,2.59,X-RAY DIFFRACTION,0.221,2022-08-03,2022,test_new_234
7T86:H,0,alpaca,H,1.1e-54,175.2,0,119,,,0.0,,0.0,215,1.9,X-RAY DIFFRACTION,0.196,2023-01-11,2023,test_new_234
7T86:L,0,human,K,1.4999999999999999e-55,177.7,0,107,,,0.0,,0.0,213,1.9,X-RAY DIFFRACTION,0.196,2023-01-11,2023,test_new_234
7T87:H,0,mouse,H,2.4e-57,183.6,0,123,,,0.0,,0.0,220,3,X-RAY DIFFRACTION,0.196,2023-01-11,2023,test_new_234
7T87:L,0,mouse,K,6.3e-53,169.3,0,108,,,0.0,,0.0,213,3,X-RAY DIFFRACTION,0.196,2023-01-11,2023,test_new_234
7T97:H,0,human,H,2e-59,190.5,0,119,,,0.0,,0.0,221,2.144,X-RAY DIFFRACTION,0.194,2022-10-12,2022,test_new_234
7T97:L,0,rhesus,K,8.3e-56,178.7,0,107,,,0.0,,0.0,212,2.144,X-RAY DIFFRACTION,0.194,2022-10-12,2022,test_new_234
7T98:H,0,human,H,2e-59,190.5,0,119,,,0.0,,0.0,221,2.97,X-RAY DIFFRACTION,0.192,2022-10-12,2022,test_new_234
7T98:L,0,rhesus,K,7.9e-55,175.5,0,107,,,0.0,,0.0,212,2.97,X-RAY DIFFRACTION,0.192,2022-10-12,2022,test_new_234
7T99:H,0,human,H,6.8e-59,188.7,0,118,,,0.0,,0.0,220,2.65,X-RAY DIFFRACTION,0.184,2022-10-12,2022,test_new_234
7T99:L,0,rhesus,K,8.3e-56,178.7,0,107,,,0.0,,0.0,212,2.65,X-RAY DIFFRACTION,0.184,2022-10-12,2022,test_new_234
7T9N:H,0,human,H,1.5e-51,165.0,0,120,,,0.0,,0.0,215,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7T9N:L,0,rhesus,L,3.1e-50,160.8,0,110,,,0.0,,0.0,212,0,ELECTRON MICROSCOPY,,2022-08-03,2022,test_new_234
7TCQ:H,0,mouse,H,1e-51,165.4,0,115,,,0.0,,0.0,216,2.02,X-RAY DIFFRACTION,0.172,2022-08-03,2022,test_new_234
7TCQ:L,0,mouse,K,2.4e-50,161.0,0,105,,,0.0,,0.0,211,2.02,X-RAY DIFFRACTION,0.172,2022-08-03,2022,test_new_234
7TCT:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.501,X-RAY DIFFRACTION,0.195,2022-08-17,2022,test_new_234
7TCT:L,0,mouse,K,4.5000000000000005e-48,153.7,0,107,,,0.0,,0.0,214,2.501,X-RAY DIFFRACTION,0.195,2022-08-17,2022,test_new_234
7TD8:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.6,X-RAY DIFFRACTION,0.182,2022-08-17,2022,test_new_234
7TD8:L,0,mouse,K,4.5000000000000005e-48,153.7,0,107,,,0.0,,0.0,214,2.6,X-RAY DIFFRACTION,0.182,2022-08-17,2022,test_new_234
7TE4:H,0,alpaca,H,1.5e-51,165.2,0,115,,,0.0,,0.0,210,2.456,X-RAY DIFFRACTION,0.261,2022-01-04,2022,test_new_234
7TE4:L,0,mouse,K,4e-51,163.5,0,106,,,0.0,,0.0,206,2.456,X-RAY DIFFRACTION,0.261,2022-01-04,2022,test_new_234
7THO:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.75,X-RAY DIFFRACTION,0.189,2022-08-17,2022,test_new_234
7THO:L,0,mouse,K,4.5000000000000005e-48,153.7,0,107,,,0.0,,0.0,214,2.75,X-RAY DIFFRACTION,0.189,2022-08-17,2022,test_new_234
7TI6:H,0,alpaca,H,5.7e-58,185.9,0,130,,,0.0,,0.0,231,2.64,X-RAY DIFFRACTION,0.229,2022-10-05,2022,test_new_234
7TI6:L,0,human,K,9e-57,181.6,0,107,,,0.0,,0.0,213,2.64,X-RAY DIFFRACTION,0.229,2022-10-05,2022,test_new_234
7TJQ:H,0,alpaca,H,2.3000000000000002e-58,187.2,0,123,,,0.0,,0.0,124,0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7TJQ:L,0,rhesus,L,1.7e-51,164.8,0,106,,,0.0,,0.0,107,0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7TL0:H,0,human,H,8e-57,182.0,0,119,,,0.0,,0.0,120,0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7TL0:L,0,human,K,7.999999999999998e-54,172.1,0,104,,,0.0,,0.0,105,0,ELECTRON MICROSCOPY,,2022-09-14,2022,test_new_234
7TLY:H,0,human,H,1.0999999999999999e-53,171.9,0,125,,,0.0,,0.0,126,3,ELECTRON MICROSCOPY,,2022-01-19,2022,test_new_234
7TLY:L,0,human,K,3.5e-50,160.3,0,100,,,0.0,,0.0,101,3,ELECTRON MICROSCOPY,,2022-01-19,2022,test_new_234
7TMZ:H,0,mouse,H,2.3e-57,183.6,0,118,,,0.0,,0.0,216,2.20002,X-RAY DIFFRACTION,0.214,2022-08-17,2022,test_new_234
